country_1,country_2,t_statistic,p_value
Afghanistan,Uruguay,9.036176810194796,8.435120292102008e-19
Afghanistan,Uzbekistan,7.4142642081842896,2.6461863733590356e-13
Afghanistan,Vanuatu,7.1369928211251175,1.8746712490903587e-12
Afghanistan,"Venezuela, RB",7.5087882114481905,1.3421156438310437e-13
Afghanistan,Viet Nam,8.206329248459715,7.240796387033805e-16
Afghanistan,Virgin Islands (U.S.),0.5856470918532087,0.5583511836959291
Afghanistan,West Bank and Gaza,8.375654899876771,1.9456840245632964e-16
Afghanistan,"Yemen, Rep.",5.72862649488321,1.3518196802434937e-08
Afghanistan,Zambia,2.764879319576809,0.00580261555553356
Afghanistan,Zimbabwe,0.5334296238191318,0.5938591771574631
Albania,Algeria,-5.689291495786258,1.6889846204847786e-08
Albania,American Samoa,-19.73346545591946,3.778180409955976e-66
Albania,Andorra,3.225394988605059,0.0013124677982114612
Albania,Angola,-12.713284516937593,2.338612307646445e-34
Albania,Antigua and Barbuda,-1.643149384338251,0.10067677910850781
Albania,Argentina,-3.7896846609437067,0.00016000315447008742
Albania,Armenia,-4.3360323775862675,1.5997842957365158e-05
